,velocity
0,0.450799971818924
8,0.6761999130249023
16,0.9016000032424928
24,1.127000093460083
32,1.3524001836776731
40,1.5778002738952637
48,1.803200364112854
56,2.0286004543304443
64,2.254000425338745
72,2.479400634765625
80,2.704800605773926
88,2.621875286102295
96,1.7638835906982422
104,1.1396650075912476
112,0.6909191608428955
120,0.3731369972229004
128,0.152457594871521
136,0.003214850323274732
144,0.09396697580814363
152,0.15364259481430054
160,0.1866833120584488
168,0.2011647522449493
176,0.20302976667881006
184,0.19662176072597504
192,0.18507333099842072
200,0.17065352201461792
208,0.5957038402557373
216,1.0620827674865725
224,1.4535698890686035
232,1.7812011241912842
240,2.061708927154541
248,2.3085644245147705
256,2.532038450241089
264,2.739752054214477
272,2.9363656044006348
280,3.1248326301574707
288,3.3072798252105717
296,3.485247611999512
304,3.659858226776123
312,3.831933975219727
320,4.0020837783813485
328,4.170755863189696
336,4.338284969329834
344,4.504923343658447
352,4.670857906341553
360,4.836231231689453
368,5.001151084899902
376,5.166086196899414
384,5.3300628662109375
392,5.494326114654541
400,5.6469268798828125
408,5.7417359352111825
416,5.8157901763916025
424,5.893146991729736
432,6.008284091949463
440,5.973830699920653
448,5.988293170928955
456,5.97224760055542
464,5.985964298248291
472,6.046610355377197
480,6.4106502532958975
488,6.702374458312987
496,6.967862129211426
504,7.211702823638916
512,7.437695503234862
520,7.649003505706787
528,7.848250865936278
536,8.037602424621582
544,8.218840599060059
552,8.393424034118652
560,8.56255054473877
568,8.727200508117676
576,8.888174057006836
584,9.046123504638672
592,9.201586723327637
600,9.354998588562012
608,9.50671672821045
616,9.657033920288086
624,9.80618667602539
632,9.95437240600586
640,10.101749420166016
648,10.24845027923584
656,10.394970893859863
664,10.34778881072998
672,10.38848114013672
680,10.3453369140625
688,10.384210586547852
696,10.461881637573242
704,10.663552284240724
712,10.850675582885742
720,11.025127410888672
728,11.189148902893066
736,11.34457778930664
744,11.492932319641113
752,11.635462760925293
760,11.773194313049315
768,11.906973838806152
776,12.037493705749512
784,12.165328025817873
792,12.290949821472168
800,12.414737701416016
808,12.53701400756836
816,12.658037185668945
824,12.778020858764648
832,12.897143363952635
840,13.015544891357422
848,13.133346557617188
856,13.250646591186525
864,13.36752223968506
872,13.48404312133789
880,13.600259780883787
888,13.716218948364258
896,13.831955909729006
904,13.947504997253418
912,14.062884330749512
920,14.178117752075195
928,14.293221473693848
936,14.408212661743164
944,14.523097038269045
952,14.637889862060547
960,14.752595901489258
968,14.867219924926758
976,14.896090507507324
984,14.889857292175293
992,14.879752159118652
1000,14.852734565734865
1008,14.823867797851562
1016,14.95847988128662
1024,15.042095184326172
1032,15.091952323913574
1040,15.115313529968262
1048,15.117926597595215
1056,15.104446411132812
1064,15.078470230102539
1072,15.042754173278807
1080,14.999452590942385
1088,14.950252532958984
1096,14.896475791931152
1104,14.839154243469238
1112,14.77910041809082
1120,14.71695041656494
1128,14.653203010559082
1136,14.588252067565918
1144,14.522403717041016
1152,14.47507095336914
1160,14.44355583190918
1168,14.41519546508789
1176,14.386360168457033
1184,14.357614517211914
1192,14.222140312194824
1200,14.06151008605957
1208,13.914371490478516
1216,13.777822494506836
1224,13.64985466003418
1232,13.528846740722654
1240,13.413500785827635
1248,13.302767753601074
1256,13.195816040039062
1264,13.091975212097168
1272,12.990711212158205
1280,12.891592025756836
1288,12.79428005218506
1296,12.698500633239744
1304,12.604036331176758
1312,12.51071548461914
1320,12.418421745300293
1328,12.32705020904541
1336,12.24563217163086
1344,12.17495822906494
1352,12.104753494262695
1360,12.036985397338867
1368,11.973172187805176
1376,11.92214584350586
1384,11.893488883972168
1392,11.887112617492676
1400,11.899556159973145
1408,11.926806449890135
1416,11.965658187866213
1424,12.013544082641602
1432,12.068415641784668
1440,12.12866497039795
1448,12.193011283874512
1456,12.260445594787598
1464,12.330166816711426
1472,12.40153694152832
1480,12.474039077758787
1488,12.547269821166992
1496,12.620899200439453
1504,12.694659233093262
1512,12.768332481384276
1520,12.84174346923828
1528,12.914748191833494
1536,12.987228393554688
1544,13.058950424194336
1552,13.130011558532715
1560,13.200350761413574
1568,13.269895553588867
1576,13.338586807250975
1584,13.406378746032715
1592,13.47323226928711
1600,13.55970287322998
1608,13.628389358520508
1616,13.681436538696287
1624,13.732132911682127
1632,13.784882545471193
1640,13.839018821716307
1648,13.89403247833252
1656,13.949515342712402
1664,14.005136489868164
1672,14.060626029968262
1680,14.115766525268555
1688,14.170379638671875
1696,14.224324226379395
1704,14.277480125427244
1712,14.329761505126953
1720,14.337414741516113
1728,14.263284683227539
1736,14.186373710632324
1744,14.10783576965332
1752,14.028090476989744
1760,14.057638168334961
1768,14.133477210998535
1776,14.199559211730955
1784,14.25700855255127
1792,14.306962013244627
1800,14.35045051574707
1808,14.38821792602539
1816,14.421359062194824
1824,14.45053482055664
1832,14.476292610168455
1840,14.499100685119627
1848,14.519353866577148
1856,14.537388801574707
1864,14.553485870361328
1872,14.567825317382812
1880,14.58057689666748
1888,14.592002868652346
1896,14.60226345062256
1904,14.61148738861084
1912,14.619768142700195
1920,14.627185821533205
1928,14.633809089660645
1936,14.639704704284668
1944,14.64492130279541
1952,14.649515151977539
1960,14.653525352478027
1968,14.657000541687012
1976,14.659971237182615
1984,14.662477493286133
1992,14.664554595947266
2000,14.666229248046875
2008,14.66753101348877
2016,14.668489456176758
2024,14.669127464294435
2032,14.669468879699707
2040,14.66953945159912
2048,14.66935920715332
2056,14.668950080871582
2064,14.668326377868652
2072,14.66751194000244
2080,14.66651725769043
2088,14.665367126464846
2096,14.664071083068848
2104,14.662643432617188
2112,14.66109848022461
2120,14.659452438354492
2128,14.657713890075685
2136,14.65589714050293
2144,14.654010772705078
2152,14.652064323425293
2160,14.650070190429688
2168,14.674936294555664
2176,14.73131275177002
2184,14.800244331359865
2192,14.86472988128662
2200,14.92764663696289
2208,14.99158763885498
2216,15.058043479919435
2224,15.127767562866213
2232,15.200992584228516
2240,15.27759838104248
2248,15.357248306274414
2256,15.439504623413086
2264,15.523905754089355
2272,15.609936714172365
2280,15.69717788696289
2288,15.7852783203125
2296,15.873956680297852
2304,15.96299934387207
2312,16.05224609375
2320,16.141597747802734
2328,16.230985641479492
2336,16.32033920288086
2344,16.40962791442871
2352,16.498846054077152
2360,16.587980270385742
2368,16.677032470703125
2376,16.765998840332028
2384,16.854887008666992
2392,16.943700790405273
2400,17.032447814941403
2408,17.121126174926758
2416,17.20974349975586
2424,17.29830551147461
2432,17.386812210083008
2440,17.475269317626953
2448,17.563674926757812
2456,17.652034759521484
2464,17.7403507232666
2472,17.828622817993164
2480,17.916852951049805
2488,18.005043029785156
2496,18.093189239501953
2504,18.18129539489746
2512,18.266660690307614
2520,18.350072860717773
2528,18.43423843383789
2536,18.518728256225586
2544,18.603307723999023
2552,18.68779182434082
2560,18.775936126708984
2568,18.861404418945312
2576,18.94395446777344
2584,19.03176689147949
2592,19.119125366210934
2600,19.20623779296875
2608,19.293210983276367
2616,19.38013458251953
2624,19.467060089111328
2632,19.55402183532715
2640,19.641033172607425
2648,19.728097915649414
2656,19.81520652770996
2664,19.902347564697266
2672,19.989511489868164
2680,20.076683044433594
2688,20.16385269165039
2696,20.25101661682129
2704,20.33815574645996
2712,20.425273895263672
2720,20.51249122619629
2728,20.50697326660156
2736,20.501834869384766
2744,20.49668312072754
2752,20.49152946472168
2760,20.526098251342773
2768,20.636571884155273
2776,20.738990783691406
2784,20.834688186645508
2792,20.92487907409668
2800,21.01055908203125
2808,21.092548370361328
2816,21.171520233154297
2824,21.248010635375977
2832,21.32247734069824
2840,21.395273208618164
2848,21.466707229614254
2856,21.53702545166016
2864,21.60642433166504
2872,21.67506217956543
2880,21.74307632446289
2888,21.81057357788086
2896,21.87764549255371
2904,21.94436264038086
2912,22.010786056518555
2920,22.076963424682614
2928,22.142932891845703
2936,22.20873260498047
2944,22.274383544921875
2952,22.339906692504886
2960,22.405323028564453
2968,22.47064208984375
2976,22.53588104248047
2984,22.60104942321777
2992,22.663576126098636
3000,22.728939056396484
3008,22.79396247863769
3016,22.85892677307129
3024,22.92383575439453
3032,22.988698959350586
3040,23.05351257324219
3048,23.118282318115234
3056,23.18302154541016
3064,23.24772071838379
3072,23.3123836517334
3080,23.377016067504886
3088,23.441619873046875
3096,23.50619125366211
3104,23.570728302001953
3112,23.635236740112305
3120,23.699716567993164
3128,23.7641658782959
3136,23.82857894897461
3144,23.89296531677246
3152,23.95732498168945
3160,24.02165412902832
3168,24.08595085144043
3176,24.15021896362305
3184,24.214452743530273
3192,24.27865600585937
3200,24.34283447265625
3208,24.406982421875
3216,24.47109794616699
3224,24.53518295288086
3232,24.599233627319336
3240,24.66325378417969
3248,24.72724533081055
3256,24.79121017456055
3264,24.855144500732425
3272,24.919048309326172
3280,24.982919692993164
3288,25.04676055908203
